# 人工覆盖层：与 all_cases.tsv 合并（同 id 的自动行会被本文件的行替换）
# 列：id|assert|expect|fields|src1|dst1|note|src2|src2_const|child_action|child_field|child_value
# ---- F4 牌堆族（含区域名归一实测）----
105002|list_count|1||PILE_CARD||F4：pile←102029(施法卡=英雄) → 英雄区恰 1 张
105002|list_count_either|deck||PILE||F4 对照：pile←101017(玩家1牌库) → 记录个数（该夹具玩家1牌库=0，故对空集恒真）
105003|value_notnull|||PILE||F4：牌堆名（实测「牌库」）
105004|value_notnull|||PILE||F4：牌堆所属玩家
101017|value_notnull||pileName=装备区|||区域名归一：装备区 → 装备
101017|value_notnull||pileName=奥秘区|||区域名归一：奥秘区 → 奥秘
101017|value_notnull||pileName=暂存区|||区域名：暂存区
# ---- F11 增益族（通道/字段/接线三路端到端）----
106002|value_notnull||buffDefine=buff_8c5cfda5|||F11：BuffSelect 池 id → BuffData
106002|value_any|||||F11 负向对照：空字段 → 期望 null（记录）
206001|buff_applied|buff_8c5cfda5|buff_id=buff_8c5cfda5;duration=99|EV_CARD||F11：施加增益（字段 buff_id 路径；duration=99 让它不过期）
206001|buff_applied|buff_8c5cfda5|duration=99|EV_CARD||F11：施加增益（buffDefine←106002 接线路径）|BUFFDEF
106003|value_bool|true|buff_id=buff_8c5cfda5|EV_CARD||F11：上面施加后，施法卡应「具有增益」
# ---- 常量 / 控制流（本块在缺来源时的默认判据不成立）----
112006|value_notnull||value=hello|||字符串常量：字段 value=hello
212002|damage|2|count=2|||重复 2 次 + 循环体伤害1 → 伤害 2|||202001|value|1
212005|damage|2|maxRepeatTime=2|CONST_BOOL||重复直到：条件恒假、上限2 → 迭代2次 → 伤害 2|||202001|value|1
212006|nobreak|||NONE||停止重复动作：不在循环体内 → 应忽略且不报错
212007|nobreak|||NONE||跳过重复动作：不在循环体内 → 应忽略且不报错
211001|damage_either|hand||HAND||遍历：array←手牌、循环体=伤害1 → 总伤害==手牌数|||202001|value|1
# ---- 需专用来源 / 记录观测（无对应来源时的诚实记录）----
104005|value_any|||SNAPSHOT||快照属性：card←快照 → 记录观测
102034|value_any|||EV_CARD||卡牌标签列表（String）：该卡无标签 → 记录观测
102009|value_any|||EV_CARD||唯一属性名（String）→ 记录观测
103019|value_any|||DEFINE_OF_CASTER||定义标签列表（String）→ 记录观测
104019|value_any|||SNAPSHOT||快照标签列表（String）→ 记录观测
107003|value_any|||EV_CARD||效果属性：本探针无 Effect 来源 → 记录观测
113003|value_any|||MAP||映射值：空映射取键 → 期望 null（记录）
113004|value_any|||MAP||映射所有键：空映射 → 记录观测
113005|value_any|||MAP||映射所有值：空映射 → 记录观测
# ---- 回归族（F1~F12 逐条修过的，全部纳入常跑；顺序：108011 必须早于 109xxx）----

101008|value_notnull|||||F2：单值卡通道取牌库首张（真实 Card）
102029|value_any|||EV_CARD||F3：英雄卡 → Pile 通道（记录，应= 玩家id|英雄）
113001|value_notnull|||||F5：映射走 Object 通道返回映射本身
103003|value_any|||DEFINE_OF_CASTER||F6：不再栈溢出
103010|value_notnull|||DEFINE_OF_CASTER||F7：取到定义（非 null）
103011|value_notnull|||DEFINE_OF_CASTER||F7：取到定义（非 null）
104001|value_notnull|||SNAPSHOT||F8：快照→卡牌（真实 Card）
104002|value_notnull|||SNAPSHOT||F8：快照→卡牌定义
104011|value_int|0||SNAPSHOT||F8：快照护甲值
104014|value_bool|false||SNAPSHOT||F8：快照具有宣言
112007|value_any||variableName=probe_tmp|||F12：Object 通道不再「未支持动作」
108011|run_int|turn||EVENT||F10：事件回合 == 当前回合数（同时产生一条事件记录）
109002|value_notnull||varName=事件类型|RECORD||F9：记录变量（最近一条）
109003|value_bool|true|argRef=OnPlay|RECORD||F9：记录类型判断 = OnPlay
109009|value_notnull||eventReference=OnDeath|RECORD||F9：转换记录类型返回新记录
200004|value_notnull||pileName=probe_pile;capacity=5|||游戏：创建牌堆
119001|dyn|turn||||回合：回合数
119005|value_bool|true||||回合：是否为第一回合
107004|value_notnull|||EV_CARD||效果：卡牌的所有效果
210002|hand_to_board|||HAND||行动：卡牌置入战场（某一方 手牌-、战场+）
# ---- r4 重新分类后暴露的取值节点（此前被"动作类假通过"掩盖）：按端口给准确来源 ----
102018|value_dying_owner_hp|||SELF_CARD||F1/F13：英雄存活（双方 HP=30）→ 不濒死
102018|value_dying_owner_hp_dying|||SELF_CARD||F1/F13：英雄濒死（双方 HP=0）→ 濒死
